ID,Date,Pos_Num,Z_Coord,t_end_ps,Status,HB_Avg,SASA_Avg,Solv_Free_Avg,vdW_Avg,Coul_Avg
1,2026.02.09,1,refy,500.0,Success,1.712,1449.35,-2.12495,5.22495,110.45563
1,2026.02.09,2,refy,500.0,Failed,2.304,,-7.75992,5.97417,109.8358
1,2026.02.09,3,refy,500.0,Failed,1.816,,-67.72781,7.497,128.36818
1,2026.02.09,4,refy,500.0,Failed,0.56,,-90.3387,5.77702,143.97182
1,2026.02.09,5,refy,500.0,Failed,0.664,,-105.57779,9.6953,145.45825
2,2026.02.09,1,refy,500.0,Success,2.0,977.824,-3.54533,3.02037,-2.54414
2,2026.02.09,2,refy,500.0,Failed,2.032,,-9.60105,3.2367,-0.77069
2,2026.02.09,3,refy,500.0,Failed,0.488,,-54.03689,3.82711,21.72357
2,2026.02.09,4,refy,500.0,Failed,0.64,,-53.68957,3.43414,16.62814
2,2026.02.09,5,refy,500.0,Failed,0.384,,-61.83346,4.94796,18.86164
3,2026.02.09,1,refy,500.0,Success,1.416,999.568,-5.1769,3.66574,7.15289
3,2026.02.09,2,refy,500.0,Failed,2.44,,-9.73782,5.16311,3.5014
3,2026.02.09,3,refy,500.0,Failed,0.96,,-45.70758,2.57949,14.29995
3,2026.02.09,4,refy,500.0,Failed,0.976,,-52.93825,3.33702,14.08136
3,2026.02.09,5,refy,500.0,Failed,0.52,,-60.79606,5.11716,19.66667
4,2026.02.09,1,refy,500.0,Success,2.28,986.413,-1.48576,3.42789,-2.02558
4,2026.02.09,2,refy,500.0,Failed,3.288,,-8.95036,6.95008,-2.70279
4,2026.02.09,3,refy,500.0,Failed,0.504,,-53.30769,4.49126,21.62147
4,2026.02.09,4,refy,500.0,Failed,0.344,,-61.00962,4.61436,22.43272
4,2026.02.09,5,refy,500.0,Failed,0.248,,-63.73662,4.41995,21.91329
5,2026.02.09,1,refy,500.0,Success,2.32,1013.99,-1.47828,6.21844,3.76692
5,2026.02.09,2,refy,500.0,Failed,2.04,,-6.98291,6.12567,5.02431
5,2026.02.09,3,refy,500.0,Failed,0.792,,-41.59293,5.22401,16.19437
5,2026.02.09,4,refy,500.0,Failed,1.048,,-54.76061,5.34277,16.66909
5,2026.02.09,5,refy,500.0,Failed,0.648,,-56.75539,3.99483,15.89727
6,2026.02.09,1,refy,500.0,Success,2.912,944.327,-1.18902,4.50001,-4.95576
6,2026.02.09,2,refy,500.0,Failed,2.824,,-9.22627,5.08593,-4.39621
6,2026.02.09,3,refy,500.0,Failed,0.568,,-51.35649,4.17678,18.2709
6,2026.02.09,4,refy,500.0,Failed,0.92,,-57.0463,4.49632,18.47569
6,2026.02.09,5,refy,500.0,Failed,0.264,,-65.47484,4.6421,22.39548
7,2026.02.09,1,refy,500.0,Success,2.016,936.655,-4.07111,4.37883,4.28533
7,2026.02.09,2,refy,500.0,Failed,1.544,,-10.3687,3.97166,11.17893
7,2026.02.09,3,refy,500.0,Failed,0.2,,-52.17883,3.05263,19.45037
7,2026.02.09,4,refy,500.0,Failed,0.12,,-65.00831,2.55284,23.66226
7,2026.02.09,5,refy,500.0,Failed,0.656,,-62.44896,3.97243,19.35641
8,2026.02.09,1,refy,500.0,Success,1.672,986.362,-4.39624,4.71274,5.13146
8,2026.02.09,2,refy,500.0,Failed,2.456,,-7.50866,5.59285,-3.45576
8,2026.02.09,3,refy,500.0,Failed,0.08,,-49.20824,4.11229,15.19103
8,2026.02.09,4,refy,500.0,Failed,0.384,,-62.23364,4.45945,21.95882
8,2026.02.09,5,refy,500.0,Failed,0.0,,-73.82157,4.17001,30.18652
9,2026.02.09,1,refy,500.0,Success,2.256,1001.92,-2.38195,5.41823,1.92165
9,2026.02.09,2,refy,500.0,Failed,2.184,,-8.46988,5.09342,-1.50755
9,2026.02.09,3,refy,500.0,Failed,1.816,,-42.0297,5.17687,12.13262
9,2026.02.09,4,refy,500.0,Failed,0.536,,-54.24682,4.78508,17.46004
9,2026.02.09,5,refy,500.0,Failed,0.256,,-57.96469,2.27694,19.19515
10,2026.02.09,1,refy,500.0,Success,2.744,1015.29,-1.12577,4.44947,4.33815
10,2026.02.09,2,refy,500.0,Failed,1.976,,-10.04453,6.03775,0.40672
10,2026.02.09,3,refy,500.0,Failed,0.512,,-47.01542,5.09131,20.14974
10,2026.02.09,4,refy,500.0,Failed,0.672,,-48.04753,1.85476,12.5743
10,2026.02.09,5,refy,500.0,Failed,0.136,,-71.3536,5.53986,30.45592
